Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,378.995,71,140,211,0.336492891,22.489,42.452,1012.08,9.744,21,400,0,23.491,1014,23.204,1016,,137.418,17.418,2020,1,6,17,25,5,10
Quolls,261.119,48,96,144,0.333333333,22.53,41.696,1012.137,9.27,14,400,1,23.901,1016,23.204,1016,,138.011,18.011,2020,1,6,18,0,41,10
Quolls,315.519,58,116,174,0.333333333,22.479,42.22,1012.036,10.106,17,400,0,23.596,1015,23.51,1016,,137.584,17.584,2020,1,6,17,35,5,10
Quolls,319.156,60,118,178,0.337078652,22.469,42.085,1011.958,10.758,17,400,0,23.596,1015,23.204,1015,,137.668,17.668,2020,1,6,17,40,5,10
Quolls,337.279,62,124,186,0.333333333,22.479,42.109,1012.055,9.949,18,400,0,23.596,1016,23.41,1016,,137.751,17.751,2020,1,6,17,45,5,10
Quolls,353.62,67,131,198,0.338383838,22.479,41.944,1012.122,9.387,20,400,0,26.03,1015,23.204,960,,137.834,17.834,2020,1,6,17,50,5,10
Quolls,342.719,63,126,189,0.333333333,22.489,41.768,1012.175,8.95,19,400,0,23.696,1015,23.004,1015,,137.918,17.918,2020,1,6,17,55,5,10
Quolls,156.035,26,56,82,0.317073171,22.399,43.191,1012.437,6.768,8,400,1,24.099,1015,23.41,1016,,138.511,18.511,2020,1,6,18,30,41,10
Quolls,177.783,30,64,94,0.319148936,22.459,42.052,1012.252,8.31,9,400,0,23.491,1015,23.31,951,,138.084,18.084,2020,1,6,18,5,5,10
Quolls,188.659,32,68,100,0.32,22.43,41.719,1012.143,9.212,10,400,0,23.596,1008,21.48,1015,,138.168,18.168,2020,1,6,18,10,5,10
Quolls,161.657,25,57,82,0.304878049,22.399,42.245,1012.256,8.273,8,400,0,23.596,1015,23.104,1016,,138.251,18.251,2020,1,6,18,15,5,10
Quolls,145.162,24,52,76,0.315789474,22.379,42.572,1012.323,7.715,7,400,0,23.901,1015,22.798,1016,,138.334,18.334,2020,1,6,18,20,5,10
Quolls,150.598,25,54,79,0.316455696,22.35,43.043,1012.431,6.818,8,400,0,23.596,1015,22.798,1016,,138.418,18.418,2020,1,6,18,25,5,10
Quolls,105.387,16,37,53,0.301886792,22.37,44.916,1012.508,6.177,5,400,1,24,1015,23.104,1015,,139.014,19.014,2020,1,6,19,0,52,10
Quolls,177.783,30,64,94,0.319148936,22.329,43.581,1012.393,7.134,9,400,0,23.491,1015,22.698,1016,,138.584,18.584,2020,1,6,18,35,5,10
Quolls,168.685,29,61,90,0.322222222,22.34,43.911,1012.383,7.213,9,400,0,23.596,1016,22.798,1015,,138.668,18.668,2020,1,6,18,40,5,10
Quolls,195.878,34,71,105,0.323809524,22.329,44.218,1012.3,7.91,11,400,0,23.286,1015,22.898,1016,,138.751,18.751,2020,1,6,18,45,5,10
Quolls,139.726,23,50,73,0.315068493,22.329,44.494,1012.425,6.866,7,400,0,23.491,1015,23.004,1016,,138.834,18.834,2020,1,6,18,50,5,10
Quolls,128.854,21,46,67,0.313432836,22.309,44.81,1012.468,6.509,6,400,0,23.491,1015,22.898,1015,,138.918,18.918,2020,1,6,18,55,5,10
Quolls,85.782,11,29,40,0.275,22.37,45.881,1012.698,4.595,4,400,1,24.205,959,23.204,1016,,139.432,19.432,2020,1,6,19,25,58,10
Quolls,109.102,16,38,54,0.296296296,22.36,45.001,1012.533,5.966,5,400,0,23.801,1010,22.698,1016,,139.02,19.02,2020,1,6,19,1,13,10
Quolls,98.26,14,34,48,0.291666667,22.299,45.25,1012.533,5.971,4,400,0,23.491,1015,22.898,992,,139.084,19.084,2020,1,6,19,5,5,10
Quolls,89.11,13,31,44,0.295454545,22.29,45.5,1012.516,6.11,4,400,0,23.596,1013,22.498,1016,,139.168,19.168,2020,1,6,19,10,5,10
Quolls,96.589,13,33,46,0.282608696,22.28,45.731,1012.59,5.495,4,400,0,23.187,887,22.498,1016,,139.251,19.251,2020,1,6,19,15,5,10
Quolls,84.176,10,28,38,0.263157895,22.28,45.939,1012.68,4.742,3,400,0,23.491,1015,22.798,1015,,139.334,19.334,2020,1,6,19,20,5,10
Quolls,56.148,4,17,21,0.19047619,22.299,46.886,1012.816,3.605,1,400,1,23.801,1015,23.204,1016,,139.928,19.928,2020,1,6,19,55,41,10
